"TIME","GEO","SEX","UNIT","Value"
"2019W04","Latvia","Total","Number","612"
"2019W04","Latvia","Males","Number","277"
"2019W04","Latvia","Females","Number","335"
"2019W04","Lithuania","Total","Number","982"
"2019W04","Lithuania","Males","Number","478"
"2019W04","Lithuania","Females","Number","504"
"2019W04","Luxembourg","Total","Number","83"
"2019W04","Luxembourg","Males","Number","40"
"2019W04","Luxembourg","Females","Number","43"
"2019W04","Hungary","Total","Number","3 234"
"2019W04","Hungary","Males","Number","1 560"
"2019W04","Hungary","Females","Number","1 674"
"2019W04","Malta","Total","Number","105"
"2019W04","Malta","Males","Number","44"
"2019W04","Malta","Females","Number","61"
"2019W04","Netherlands","Total","Number","3 180"
"2019W04","Netherlands","Males","Number","1 546"
"2019W04","Netherlands","Females","Number","1 634"
"2019W04","Austria","Total","Number","1 714"
"2019W04","Austria","Males","Number","806"
"2019W04","Austria","Females","Number","908"
"2019W04","Poland","Total","Number","8 798"
"2019W04","Poland","Males","Number","4 536"
"2019W04","Poland","Females","Number","4 262"
"2019W04","Portugal","Total","Number","3 021"
"2019W04","Portugal","Males","Number","1 462"
"2019W04","Portugal","Females","Number","1 559"
"2019W04","Romania","Total","Number","6 259"
"2019W04","Romania","Males","Number","3 238"
"2019W04","Romania","Females","Number","3 021"
"2019W04","Slovenia","Total","Number","477"
"2019W04","Slovenia","Males","Number","229"
"2019W04","Slovenia","Females","Number","248"
"2019W04","Slovakia","Total","Number","1 135"
"2019W04","Slovakia","Males","Number","587"
"2019W04","Slovakia","Females","Number","548"
"2019W04","Finland","Total","Number","1 134"
"2019W04","Finland","Males","Number","565"
"2019W04","Finland","Females","Number","569"
"2019W04","Sweden","Total","Number","1 828"
"2019W04","Sweden","Males","Number","898"
"2019W04","Sweden","Females","Number","930"
"2019W04","United Kingdom","Total","Number","13 247"
"2019W04","United Kingdom","Males","Number","6 683"
"2019W04","United Kingdom","Females","Number","6 564"
"2019W04","Iceland","Total","Number","37"
"2019W04","Iceland","Males","Number","21"
"2019W04","Iceland","Females","Number","16"
"2019W04","Liechtenstein","Total","Number","5"
"2019W04","Liechtenstein","Males","Number","3"
"2019W04","Liechtenstein","Females","Number","2"
"2019W04","Norway","Total","Number","834"
"2019W04","Norway","Males","Number","430"
"2019W04","Norway","Females","Number","404"
"2019W04","Switzerland","Total","Number","1 403"
"2019W04","Switzerland","Males","Number","657"
"2019W04","Switzerland","Females","Number","746"
"2019W04","Montenegro","Total","Number","171"
"2019W04","Montenegro","Males","Number","92"
"2019W04","Montenegro","Females","Number","79"
"2019W04","Albania","Total","Number","555"
"2019W04","Albania","Males","Number","281"
"2019W04","Albania","Females","Number","274"
"2019W04","Serbia","Total","Number","2 286"
"2019W04","Serbia","Males","Number","1 136"
"2019W04","Serbia","Females","Number","1 150"
"2019W04","Andorra","Total","Number","8"
"2019W04","Andorra","Males","Number","7"
"2019W04","Andorra","Females","Number","1"
"2019W04","Armenia","Total","Number","597"
"2019W04","Armenia","Males","Number","283"
"2019W04","Armenia","Females","Number","314"
"2019W04","Georgia","Total","Number","1 022"
"2019W04","Georgia","Males","Number","526"
"2019W04","Georgia","Females","Number","496"
"2019W05","Belgium","Total","Number","2 421"
"2019W05","Belgium","Males","Number","1 171"
"2019W05","Belgium","Females","Number","1 250"
"2019W05","Bulgaria","Total","Number","2 573"
"2019W05","Bulgaria","Males","Number","1 294"
"2019W05","Bulgaria","Females","Number","1 279"
"2019W05","Czechia","Total","Number","2 497"
"2019W05","Czechia","Males","Number","1 191"
